import_value_eur,export_value_eur,import_qty_kg,export_qty_kg,date,export_value_eur_real_2025,import_value_eur_real_2025
48328531,14836065,8311040,2171277,2017-11-01,19962747.873329017,65028717.48279382
44200979,12014413,7262572,1684252,2017-12-01,16166058.693126952,59474867.46191194
37583127,10921609,7011786,1553408,2018-01-01,14407480.718741206,49578608.57337981
42347976,12183900,7572329,1731300,2018-03-01,16072659.653817581,55864263.928301714
38363889,10764418,7217701,1557875,2018-02-01,14200118.753882397,50608567.93751066
35149546,10379874,6043869,1548603,2018-04-01,13692839.07874409,46368296.67382408
37750680,10909514,6989015,1559933,2018-05-01,14391525.333477627,49799639.79843714
38134553,11886945,6373234,1747150,2018-06-01,15680924.934433853,50306034.30916769
42591680,11608561,7873962,1577898,2018-07-01,15313688.558144787,56185751.4198499
37942300,10774541,6732895,1622097,2018-08-01,14213472.731974436,50052419.53586642
39437485,12359164,7583890,1671089,2018-09-01,16303863.014118198,52024825.71323928
41553066,14165753,7316341,1993648,2018-10-01,18687064.627011497,54815640.91880425
48856607,14249642,8069165,1957824,2018-11-01,18797728.646389455,64450267.66070976
41050576,11451544,7302727,1580462,2018-12-01,15106556.129212879,54152770.18369917
40850027,13778407,7854372,2121390,2019-01-01,17907476.48467674,53091834.04880622
36574688,13091907,6879159,1906724,2019-02-01,17015248.33328518,47535274.96280148
39753874,13420056,7449191,2061404,2019-03-01,17441735.989004027,51667189.3804416
42051167,13106671,7850154,1810711,2019-04-01,17034436.76216667,54652927.88968381
41755089,11988307,7636920,1698810,2019-05-01,15580924.971485134,54268122.16993478
36033821,11822099,6584161,1580869,2019-06-01,15364908.283085296,46832322.64880483
41756932,13955880,7785413,1915657,2019-07-01,18138134.032691184,54270517.47435286
37569644,12934336,6479982,1720642,2019-08-01,16810456.953761622,48828396.23388079
41527115,13881095,7982174,1781933,2019-09-01,18040937.70013209,53971829.64176968
45150541,16190741,8630153,2188328,2019-10-01,21042731.11739199,58681112.4992848
48248252,16228759,8665749,2243844,2019-11-01,21092142.23153562,62707135.74629909
44186964,12706417,6608461,1623992,2019-12-01,16514235.907822784,57428773.78780129
38108518,14092058,7806746,1887754,2020-01-01,18062249.92658168,48844929.2819854
36228368,12072620,6854878,1613056,2020-02-01,15473870.438842114,46435079.76252823
48497567,17046580,9282749,2377938,2020-03-01,21849157.046718705,62160911.91117295
37221948,11249486,7153772,1503689,2020-04-01,14418832.769321673,47708583.62421068
31034057,9486647,5193262,1162084,2020-05-01,12159344.581129052,39777362.09784133
32669254,10396239,5626622,1410966,2020-06-01,13325198.28647282,41873247.37543503
41560839,13121286,7322226,1686782,2020-07-01,16817979.821695115,53269881.601141796
38276590,13112176,6656138,1854058,2020-08-01,16806303.23784688,49060352.640990905
43651190,14852849,7951030,2123081,2020-09-01,19037380.541563112,55949152.59167276
41451441,16562438,7185826,2216937,2020-10-01,21228616.46961101,53129662.61982138
42232899,15552260,7129263,2134911,2020-11-01,19933838.410484772,54131282.80213447
45775184,12946657,7788838,1599479,2020-12-01,16594152.142130567,58671544.91155677
32853089,13273803,5935052,1845453,2021-01-01,16550064.037298495,40961940.35522953
37899788,13892659,6102042,1947588,2021-02-01,17321667.053394668,47254273.579322904
39440957,16612258,7025383,2268933,2021-03-01,20712521.777227238,49175836.34790545
44392204,12670661,7886879,1795644,2021-04-01,15798053.575520188,55349157.95848548
37773444,13158053,6532708,1890993,2021-05-01,16405744.43934173,47096745.15354105
40849638,14322795,7949893,1914847,2021-06-01,17857969.90079623,50932210.21891481
42188301,13722238,7327464,1895140,2021-07-01,17109182.472803824,52601284.13649232
40554143,14578678,7205847,2040068,2021-08-01,18177010.347310018,50563780.6759495
44702273,14253527,7953655,1892384,2021-09-01,17771605.063549843,55735758.67916674
43045372,16924724,7709954,2183596,2021-10-01,21102111.129237246,53669898.75541588
51227700,16966047,8142477,2221182,2021-11-01,21153633.537413206,63871801.885527164
53539624,14173589,7821274,1785665,2021-12-01,17671936.64003824,66754358.62148048
38451820,14000804,6120091,1781120,2022-01-01,16074129.441280678,44146002.75332939
43814631,15940283,6866072,2057963,2022-02-01,18300818.458186105,50302971.89475326
48614939,19185506,7778227,2496829,2022-03-01,22026614.103052016,55814139.12129362
49624897,15523683,7251878,1998041,2022-04-01,17822525.759764105,56973657.93337448
51374821,17979356,7561906,2528847,2022-05-01,20641849.969106518,58982721.47632556
48747109,17976122,7564297,2237230,2022-06-01,20638137.058432736,55965881.67038252
47764343,14929834,6738303,1874851,2022-07-01,17140735.935795777,54837581.6174363
44247914,18556924,6375370,2135281,2022-08-01,21304947.802141078,50800418.11474937
50385441,19505544,6948494,2366052,2022-09-01,22394045.304726478,57846827.98145096
53335601,18401829,7452463,2123734,2022-10-01,21126885.377604928,61233865.87673816
57327466,20273091,8509072,2304685,2022-11-01,23275255.400251467,65816870.87574521
51672611,17263572,7088290,1887181,2022-12-01,19820068.257999238,59324610.05688986
47476850,18785323,6524209,2005622,2023-01-01,20006650.774844997,50563557.40274999
47663573,23575151,7039791,2253244,2023-02-01,25107889.442264996,50762420.198594995
55176765,21022939,7452059,2217861,2023-03-01,22389745.379084997,58764082.37647499
46435513,18182598,6500570,2125924,2023-04-01,19364739.608969998,49454517.877694994
50670166,20499907,7151742,2279733,2023-05-01,21832708.453604996,53964486.84248999
46803804,17934446,7079515,1996538,2023-06-01,19100454.006689996,49846753.317059994
51830276,18716456,7279332,2097218,2023-07-01,19933306.386839997,55200021.39413999
48968122,18324543,6648837,2118247,2023-08-01,19515913.163145,52151784.45182999
51131076,19553401,7495345,2292182,2023-09-01,20824665.366014995,54455362.90613999
58526645,19252242,8487540,2505859,2023-10-01,20503926.513629995,62331754.82467499
58912578,22530610,7945578,2659457,2023-11-01,23995437.609149996,62742779.25866999
47321305,15354392,6203216,1621079,2023-12-01,16352657.795879997,50397899.64457499
49480230,18645017,7433644,2041394,2024-01-01,19297592.595,51212038.05
51736623,16609397,7285216,1783822,2024-02-01,17190725.895,53547404.80499999
48243492,16881863,6778245,1876439,2024-03-01,17472728.205,49932014.22
51064251,17590537,7483233,1968281,2024-04-01,18206205.794999998,52851499.785
53428339,16982973,7766492,1965765,2024-05-01,17577377.055,55298330.864999995
50186334,16085308,7387269,1817417,2024-06-01,16648293.78,51942855.69
56162761,18126384,7976144,2117836,2024-07-01,18760807.439999998,58128457.635
49890316,17439397,7522190,2123680,2024-08-01,18049775.895,51636477.059999995
54705579,17621681,7135346,1931588,2024-09-01,18238439.834999997,56620274.26499999
63051621,22471849,8103105,2491180,2024-10-01,23258363.715,65258427.73499999
54611279,20094084,6629446,2144809,2024-11-01,20797376.939999998,56522673.76499999
53762468,16289140,6731884,1604575,2024-12-01,16859259.9,55644154.379999995
58416142,22001076,6870408,2099865,2025-01-01,22001076.0,58416142.0
62481524,20649137,7872617,2053620,2025-02-01,20649137.0,62481524.0
66469281,20759131,8707915,2092349,2025-03-01,20759131.0,66469281.0
62229373,21748705,7237772,2098342,2025-04-01,21748705.0,62229373.0
60794016,20478482,6709337,1897283,2025-05-01,20478482.0,60794016.0
66174649,19961474,7237690,1868009,2025-06-01,19961474.0,66174649.0
65539634,22865544,6930871,2154189,2025-07-01,22865544.0,65539634.0
60033946,20415522,6566989,1878698,2025-08-01,20415522.0,60033946.0
67001764,29853360,7192971,2610875,2025-09-01,29853360.0,67001764.0
